YEAR,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,EMISSIONS,COMB (km/L),CITY (km/L),HWY (km/L)
2000,CHRYSLER,PT CRUISER,SUBCOMPACT,2.4,4,A4,X,239,9.615384615384615,8.403361344537815,11.627906976744187
2000,CHRYSLER,PT CRUISER,SUBCOMPACT,2.4,4,M5,X,235,9.803921568627452,8.547008547008547,12.048192771084336
2000,CHRYSLER,SEBRING,COMPACT,2.5,6,A4,X,232,9.900990099009901,8.333333333333334,12.820512820512821
2000,CHRYSLER,SEBRING CONVERTIBLE,COMPACT,2.5,6,A4,X,235,9.803921568627452,8.264462809917356,12.658227848101266
2000,CHRYSLER,SEBRING CONVERTIBLE,COMPACT,2.5,6,AS4,X,253,9.090909090909092,7.633587786259542,11.904761904761905
2000,CHRYSLER,TOWN & COUNTRY,MINIVAN,3.8,6,A4,X,267,8.620689655172415,7.352941176470589,10.989010989010989
2000,CHRYSLER,TOWN & COUNTRY AWD,MINIVAN,3.8,6,A4,X,281,8.196721311475411,6.896551724137931,10.526315789473685
2000,DAEWOO,LANOS,SUBCOMPACT,1.5,4,A4,X,186,12.345679012345679,10.1010101010101,16.94915254237288
2000,DAEWOO,LANOS,SUBCOMPACT,1.5,4,M5,X,175,13.157894736842106,11.11111111111111,16.94915254237288
2000,DAEWOO,LANOS,SUBCOMPACT,1.6,4,A4,X,196,11.764705882352942,9.803921568627452,15.625
2000,DAEWOO,LANOS,SUBCOMPACT,1.6,4,M5,X,177,12.987012987012987,10.989010989010989,16.666666666666668
2000,DAEWOO,LEGANZA,COMPACT,2.2,4,A4,X,230,10.0,8.403361344537815,12.820512820512821
2000,DAEWOO,LEGANZA,COMPACT,2.2,4,M5,X,223,10.309278350515465,8.620689655172415,13.513513513513512
2000,DAEWOO,NUBIRA,COMPACT,2.0,4,A4,X,207,11.11111111111111,9.433962264150944,14.084507042253522
2000,DAEWOO,NUBIRA,COMPACT,2.0,4,M5,X,202,11.363636363636363,9.523809523809524,14.492753623188404
2000,DAEWOO,NUBIRA WAGON,STATION WAGON - SMALL,2.0,4,A4,X,207,11.11111111111111,9.433962264150944,14.084507042253522
2000,DAEWOO,NUBIRA WAGON,STATION WAGON - SMALL,2.0,4,M5,X,205,11.235955056179774,9.523809523809524,14.492753623188404
2000,DODGE,CARAVAN,MINIVAN,3.0,6,A4,X,253,9.090909090909092,7.6923076923076925,11.627906976744187
2000,DODGE,CARAVAN,MINIVAN,3.3,6,A4,X,253,9.090909090909092,7.751937984496124,11.627906976744187
2000,DODGE,CARAVAN,MINIVAN,3.8,6,A4,X,267,8.620689655172415,7.352941176470589,10.989010989010989
2000,DODGE,CARAVAN FFV,MINIVAN,3.3,6,A4,X,253,9.090909090909092,7.751937984496124,11.627906976744187
2000,DODGE,CARAVAN FFV,MINIVAN,3.3,6,A4,E,251,6.369426751592357,5.347593582887701,8.264462809917356
2000,DODGE,DAKOTA,PICKUP TRUCK - STANDARD,3.9,6,A4,X,290,7.936507936507937,6.8493150684931505,9.803921568627452
2000,DODGE,DAKOTA,PICKUP TRUCK - STANDARD,3.9,6,M5,X,290,7.936507936507937,6.622516556291391,10.416666666666668
2000,DODGE,DAKOTA,PICKUP TRUCK - STANDARD,4.7,8,A4,X,313,7.352941176470589,6.329113924050633,9.090909090909092
2000,DODGE,DAKOTA,PICKUP TRUCK - STANDARD,4.7,8,M5,X,320,7.194244604316546,6.0606060606060606,9.25925925925926
2000,DODGE,DAKOTA,PICKUP TRUCK - STANDARD,5.9,8,A4,X,375,6.134969325153374,5.291005291005291,7.575757575757576
2000,DODGE,DAKOTA 4X4,PICKUP TRUCK - STANDARD,3.9,6,A4,X,331,6.944444444444445,6.134969325153374,8.264462809917356
2000,DODGE,DAKOTA 4X4,PICKUP TRUCK - STANDARD,3.9,6,M5,X,340,6.756756756756756,5.780346820809248,8.47457627118644
2000,DODGE,DAKOTA 4X4,PICKUP TRUCK - STANDARD,4.7,8,A4,X,327,7.042253521126761,6.0606060606060606,8.771929824561402
2000,DODGE,DAKOTA 4X4,PICKUP TRUCK - STANDARD,4.7,8,M5,X,338,6.802721088435375,5.882352941176471,8.47457627118644
2000,DODGE,DAKOTA 4X4,PICKUP TRUCK - STANDARD,5.9,8,A4,X,396,5.813953488372094,4.926108374384237,7.462686567164179
2000,DODGE,DURANGO 4X4,SUV - STANDARD,4.7,8,A4,X,345,6.666666666666667,5.74712643678161,8.333333333333334
2000,DODGE,DURANGO 4X4,SUV - STANDARD,5.9,8,A4,X,396,5.813953488372094,4.926108374384237,7.462686567164179
2000,DODGE,DURANGO 5.9 R/T 4X4,SUV - STANDARD,5.9,8,A4,Z,396,5.813953488372094,4.926108374384237,7.462686567164179
2000,DODGE,GRAND CARAVAN,MINIVAN,3.0,6,A4,X,253,9.090909090909092,7.6923076923076925,11.627906976744187
2000,DODGE,GRAND CARAVAN,MINIVAN,3.3,6,A4,X,253,9.090909090909092,7.751937984496124,11.627906976744187
2000,DODGE,GRAND CARAVAN,MINIVAN,3.8,6,A4,X,267,8.620689655172415,7.352941176470589,10.989010989010989
2000,DODGE,GRAND CARAVAN,MINIVAN,3.8,6,AS4,X,271,8.47457627118644,7.194244604316546,10.869565217391305
